batch_size,lr,num_neurons_pos,num_hidden_layers_pos,num_neurons_neg,num_hidden_layers_neg,pnorm_order,lagrange_smalltozero,lagrange_pnorm,lagrange_base,lagrange_important_sigs,value
456.0,0.000561133795301,598.0,3.0,1108.0,2.0,6.0,1.4389722118726462,97251.32813756664,0.735489320009405,0.1040401345871439,-0.1395304784178734
126.0,0.0001465487597209,867.0,4.0,89.0,6.0,8.0,2.9488993663255294,81683.88443163809,0.4482753137675396,0.1502113859363665,-2.0
293.0,1.2739323826345407e-05,175.0,3.0,230.0,3.0,9.0,5.576774616041673,6619.262949524091,0.1371100798369045,0.2877055364601874,-0.1693338394165039
467.0,0.0008243632187553,211.0,2.0,569.0,3.0,8.0,9.042480315198429,19979.27864247767,0.0933604782713633,0.2201313297382289,-0.0656120808795094
486.0,0.000393026041459,57.0,5.0,672.0,5.0,9.0,4.753981416988908,95834.4430105106,0.1360169398195877,0.9515220548679444,-2.0
420.0,0.0001729354849527,281.0,3.0,1035.0,5.0,7.0,4.538884668210444,8341.550511122174,0.2438577677531021,0.4679686332679099,-0.1048721335828304
41.0,0.0007228446131758,333.0,6.0,812.0,2.0,6.0,2.055519501200548,55176.98473266384,0.2655836279508149,0.567108609664164,-0.0361171809956431
193.0,0.0007163903521433,932.0,4.0,767.0,4.0,8.0,4.157757409265288,79762.44719695437,0.2856974041974925,0.926451494654957,-2.0
160.0,0.0009171061275789,669.0,2.0,201.0,2.0,5.0,8.639181177417385,21465.43060821982,0.9245175480841826,0.7621694815904841,-0.0822982728481292
356.0,0.0002177545022573,868.0,2.0,514.0,4.0,7.0,4.302263285255631,44336.89227681074,0.1629884883825541,0.1739454753232169,-0.0719753708690404
108.0,0.000179060152724,338.0,1.0,1012.0,2.0,6.0,7.895332735872925,79423.7141091927,0.5070547036612759,0.8801704976781753,-0.0617301788181066
34.0,0.0006782291954806,812.0,2.0,468.0,2.0,3.0,8.695264151321625,95433.5092592198,0.6623611000323046,0.3445259943565794,-0.0214191511273384
466.0,0.0008586123960924,247.0,3.0,210.0,1.0,5.0,0.5932587210369069,27329.823345377685,0.2693517217097749,0.119846955501317,-0.0993273515254259
385.0,0.0001048116956204,880.0,6.0,1020.0,3.0,8.0,9.613824029153026,49632.18672015023,0.1703580535729455,0.6620418618283482,-0.1092235751450061
278.0,0.0001265455813811,77.0,4.0,551.0,4.0,6.0,0.1150862794196448,33149.34059058103,0.94577683725918,0.9952434696804944,-0.2542586967349052
83.0,0.0002540858017743,1137.0,5.0,306.0,4.0,8.0,1.7110745738938538,61483.19517843441,0.0537704630229062,0.6702469871896551,-0.0358398141339421
410.0,0.0003002500109045,100.0,6.0,1055.0,5.0,8.0,0.8338281618953604,42279.22142497977,0.2601363989376402,0.8364250183443068,-0.1529259167611599
50.0,0.0006738209629721,178.0,5.0,537.0,2.0,4.0,7.248576637240701,2983.301453502763,0.0127892628264523,0.5387232529159937,-1.0046743035316468
356.0,0.0004217582158598,463.0,3.0,845.0,1.0,4.0,1.3668320838158312,93051.70070232725,0.0891146282722178,0.8444259501839322,-0.065350916236639
223.0,0.0009061768505831,1088.0,3.0,1155.0,3.0,7.0,2.19465651280897,52175.74903951206,0.2471162744776201,0.8893979196397414,-0.0765133623033762
201.0,0.0008630659128812,505.0,1.0,260.0,1.0,6.0,0.7522621316524531,35396.96377186757,0.0732331566208433,0.5126614729760052,-0.0528287161141634
214.0,0.0003018320474144,583.0,3.0,707.0,4.0,7.0,3.785658914965604,74464.81121077084,0.1367414338090944,0.6859267602793682,-0.0636924229562282
426.0,5.71996310511633e-05,237.0,4.0,344.0,5.0,8.0,9.649465379780423,53870.520826795226,0.5143858532458586,0.057104517035978,-0.1710858061909675
226.0,7.60244278504771e-05,485.0,4.0,101.0,2.0,4.0,6.552292578720965,41642.751609513005,0.2400359277227768,0.9175215042533248,-0.1131779387593269
363.0,0.0008451738638709,112.0,4.0,964.0,6.0,3.0,5.207087069962514,91011.29878317904,0.3675292351235015,0.6150055046347354,-0.0657575065270066
418.0,0.000646000397392,728.0,5.0,568.0,5.0,8.0,3.8627268048745913,85106.18714784371,0.6380640221679476,0.9465136986903424,-2.0
332.0,0.0007805492094719,799.0,5.0,419.0,6.0,7.0,6.32043144750336,10124.749640653316,0.0878846313854912,0.200952600308028,-0.0482592007145285
64.0,0.0005812621842548,614.0,2.0,459.0,4.0,7.0,6.839631771696578,31426.63894037008,0.3137144076447665,0.5520349859027138,-0.043654559738934
81.0,0.0005982996397249,789.0,4.0,428.0,4.0,9.0,8.806850328601834,74821.465164628,0.3729521947027905,0.3545864033904122,-0.056218028627336
288.0,0.0006163431182358,414.0,2.0,879.0,2.0,7.0,8.021964067421113,61141.338670935125,0.1240567629525875,0.7914889320873278,-0.0661212630569934
412.0,8.234524099830948e-05,1192.0,3.0,399.0,5.0,7.0,6.057313349067654,57951.54375807172,0.2929949946043632,0.3981293912367935,-0.1071349862962961
344.0,0.0004302941110898,742.0,5.0,982.0,3.0,7.0,8.955300926596452,33638.201942662694,0.9882842104379777,0.7404019483091474,-0.1421186000108719
298.0,0.0001429253767952,1095.0,4.0,443.0,1.0,6.0,1.5184248487886691,44560.19221193456,0.0317197667449313,0.2825814954148349,-0.0438812172040343
88.0,0.0007954614549207,863.0,5.0,1103.0,6.0,6.0,9.343576887618568,44389.90717259718,0.3362377985171953,0.5703470288934828,-0.0533040728420019
362.0,0.0009116869195223,1088.0,4.0,444.0,6.0,4.0,3.92851584905982,58620.474285754,0.476985524780417,0.5229061414732978,-0.0939938310533761
259.0,0.0009869919104345,624.0,3.0,270.0,6.0,6.0,2.9149643371178318,36684.716325088455,0.8506201345098395,0.7453998245463793,-0.1197812333703041
402.0,0.0003420519759364,297.0,3.0,122.0,4.0,4.0,7.096545336212,7021.696519676144,0.4532255226141262,0.5343928426076201,-0.098860090970993
117.0,0.000890247394263,645.0,4.0,890.0,2.0,4.0,0.5777003345495155,63797.85496193354,0.2636318103158176,0.50322505458521,-0.0473284216597676
249.0,0.0005726827096853,373.0,2.0,437.0,5.0,8.0,5.741813979058612,51851.06684944595,0.9818391177424468,0.33311595352725,-2.0
90.0,0.0005902239748523,248.0,3.0,356.0,3.0,7.0,8.992611944264256,86173.45241633261,0.1236521380160391,0.456226882634799,-0.0388392437249422
209.0,0.0004461180344839,1018.0,3.0,501.0,4.0,5.0,0.4076584857855611,87154.76156494142,0.1571451919594992,0.4908731148627298,-0.0525465782731771
290.0,0.0008141912242169,1079.0,4.0,668.0,1.0,8.0,4.099713489398782,99963.08709623432,0.0884784591623068,0.4050993510172233,-2.0
176.0,0.0003981731842885,1083.0,3.0,997.0,5.0,9.0,9.384543129790398,82726.30818600883,0.3832287276607512,0.4146497912740223,-0.075064305588603
135.0,0.0008750063180809,1114.0,3.0,576.0,3.0,3.0,5.015655680499442,46400.61751547807,0.5791070763541473,0.5853576920127678,-0.0480872694402933
253.0,0.0001205193789552,127.0,5.0,574.0,3.0,3.0,3.3102098390914683,16185.755927061178,0.950027654574777,0.0448440365510028,-0.105267958343029
233.0,4.618795494466661e-05,401.0,3.0,868.0,4.0,6.0,8.71592580241808,88867.76333540019,0.934012524288988,0.1360562939412865,-0.1618179343640804
197.0,0.0008044171425794,1187.0,6.0,890.0,3.0,9.0,6.853277222010859,3245.0463494237174,0.3463050000256506,0.0159136112963892,-0.047649410367012
278.0,0.0007525276092675,434.0,2.0,1111.0,4.0,8.0,5.6968641883427535,83127.70737311056,0.3929698008975725,0.6876874475533382,-2.0
158.0,0.0001277767408964,1179.0,4.0,1115.0,2.0,3.0,5.485824976269895,50391.35374902733,0.6408185566531546,0.1285392852345524,-0.0457842683419585
249.0,0.0007838887941468,74.0,6.0,978.0,1.0,3.0,7.436723784301921,38990.61010391804,0.7055322286398135,0.7545123561884367,-0.0914194855839014
20.0,0.000367884062032,1200.0,5.0,69.0,3.0,8.0,0.3608573821607501,32771.74307834421,0.01,1.0,-1.4870183527469636
500.0,0.0001373253210311,461.0,3.0,358.0,6.0,4.0,6.217038574480196,98035.942121518,0.7706243129139396,0.7122219799291064,-0.1715408191084861
303.0,0.000364553649197,1157.0,3.0,298.0,3.0,6.0,4.047535686905738,68061.48257212386,0.01,0.9003249157473519,-1.0316950678825378
500.0,0.0009931383836033,78.0,3.0,893.0,2.0,8.0,1.3860064298905037,82798.51920898203,0.1190068866924234,0.9865461085257516,-2.0
500.0,0.0003637911996464,773.0,2.0,81.0,2.0,4.0,4.412263721165698,20536.25304607723,0.8126611620723682,0.052288064891058,-0.1358949273824691
20.0,0.0005416999956478,109.0,4.0,1185.0,2.0,6.0,2.145175145901368,60024.60819537983,0.7323304170692546,0.3162066056699136,-0.0332178380340337
358.0,9.23197076951924e-05,255.0,6.0,705.0,1.0,7.0,9.429820286887868,31826.3007989137,0.3656586936012973,0.236090301144671,-0.1290049284696579
500.0,0.001,50.0,1.0,1191.0,4.0,8.0,10.0,7618.24644503298,0.2085994069564292,0.01,-0.0906397804617881
75.0,0.0002708486074589,50.0,2.0,733.0,2.0,8.0,4.17430971578237,54346.34060950781,0.2050222152234802,0.0100715476294729,-0.0359554775059223
288.0,0.0005292262048078,281.0,1.0,503.0,6.0,8.0,9.336306945086946,16846.116440453763,0.3282419509721625,0.01,-0.0572994071990251
198.0,0.0003484415639547,740.0,4.0,1119.0,2.0,4.0,4.1952542189973485,80123.14078346819,0.4971220152258918,0.1509710282868641,-0.0665150936692953
20.0,0.0004456495523502,1061.0,4.0,950.0,1.0,9.0,4.08007480267966,80296.49559420247,0.6447880375932395,0.7528118411600603,-2.0
52.0,0.0004482292176721,887.0,3.0,446.0,5.0,9.0,10.0,70482.52648239087,0.2598453725513489,0.3394673246459765,-0.0356411127373576
20.0,0.0001401789460114,756.0,5.0,580.0,1.0,6.0,0.8677674593079305,45900.02155586233,0.432269688049504,0.5432154649420221,-0.025457502156496
327.0,0.0008254036555151,743.0,3.0,183.0,6.0,6.0,6.401621992373882,23929.82981033429,0.4727574045036092,0.2752431976707589,-0.0936865802854299
277.0,0.0009113549258814,872.0,5.0,771.0,4.0,8.0,2.8295874090982416,54935.39203350625,0.0435664366373197,0.2807919782834971,-2.0
20.0,0.0002817339970528,439.0,1.0,338.0,3.0,8.0,3.131802601538071,58173.47831903892,0.8758865462126951,0.2721020069179773,-2.0
500.0,0.0001472976891313,50.0,6.0,1200.0,6.0,8.0,1.245904388459347,55070.37825261664,0.3474891443416989,0.715593925676705,-0.2116655558347702
194.0,1e-05,370.0,5.0,1008.0,3.0,8.0,2.5974751027572167,56250.61606055171,0.1189242784834246,0.8375056618291762,-0.1189786650240421
127.0,0.0006570901478763,109.0,2.0,1104.0,3.0,7.0,1.0108722725263977,45371.14294414189,0.3616877261092657,0.2060723434003697,-0.0563321718946099
322.0,0.0004568041908573,1146.0,4.0,945.0,2.0,6.0,9.829852902128849,45101.01140160567,0.7885772482107647,0.680707898062436,-0.1214099146425724
316.0,0.0009514493298633,842.0,5.0,890.0,5.0,6.0,2.0348103787178333,44199.56336980035,0.3811489870720136,0.4745795999854117,-0.0976300109177827
218.0,0.0002202013861327,1006.0,1.0,1058.0,1.0,8.0,3.2523498280853484,51967.77350605127,0.01,0.1367583909150428,-1.0213294804096222
172.0,0.0002549849783104,197.0,3.0,1200.0,1.0,8.0,6.7755779137712135,8493.85758207406,0.01,0.01,-1.0064996659755707
20.0,1e-05,521.0,5.0,412.0,4.0,7.0,1.958688466207092,62194.63799853261,0.1408757344291393,0.748716705740163,-0.0228641772642731
38.0,1e-05,165.0,4.0,50.0,5.0,8.0,1.5559910204700325,61312.44366460245,0.1295459595538279,0.3183624868727907,-1.0545689821243287
311.0,1e-05,142.0,6.0,590.0,4.0,8.0,2.407800492002787,40925.8729042683,0.01,0.554526388160754,-1.1256820678710937
135.0,7.305233184751663e-05,246.0,3.0,1079.0,3.0,7.0,3.5052603133962137,53885.90345231525,0.2497886532036121,0.6906527907198193,-0.0674484685063362
473.0,1e-05,474.0,5.0,386.0,2.0,4.0,8.20331192780269,17241.99728673442,1.0,0.5230477271991862,-0.3388526007533073
223.0,1e-05,50.0,3.0,670.0,2.0,6.0,7.185148264054491,89606.06164641323,1.0,0.7617364638246175,-1.0730892598628998
500.0,0.001,461.0,1.0,491.0,6.0,8.0,10.0,10867.364440425908,0.3949272204212511,0.1972468816575155,-0.1212801430374383
407.0,0.0009977915193643,50.0,4.0,435.0,2.0,8.0,4.661752068775618,25286.338885593734,0.4413149620408521,0.01,-0.1562175408005714
183.0,0.0004031472170284,76.0,3.0,357.0,1.0,6.0,9.474134583042284,77292.70605819536,0.1934396125070361,0.3837039445184065,-0.0737143378704786
27.0,0.0002401271546379,154.0,3.0,715.0,3.0,5.0,4.499590245339948,59450.0595177078,0.4516646435776824,0.3156807765196656,-0.0231032795272767
379.0,1e-05,316.0,4.0,584.0,2.0,3.0,4.718494564951599,74732.32876696398,0.478427099043561,0.4363496756847687,-0.2148780301213264
311.0,0.0004087187064108,535.0,5.0,1176.0,5.0,7.0,5.962318551127433,75689.7057130975,0.1466347372297479,0.4330899782566412,-0.0646967429667711
350.0,1e-05,50.0,2.0,520.0,5.0,8.0,10.0,45732.50630886408,0.3516839100937245,0.01,-1.0956433296203614
270.0,0.0005023245691353,161.0,5.0,333.0,4.0,7.0,1.352613714167994,47471.78403795548,0.3190001357910304,0.7856410572556406,-0.1142355345189571
202.0,1e-05,286.0,5.0,871.0,2.0,7.0,2.942727721487513,45809.17098402825,0.3235605496907249,0.01,-0.1460808090865612
124.0,0.0003898912648729,176.0,2.0,1200.0,2.0,6.0,2.396218800127843,37791.60153587265,0.3126237478698985,0.01,-0.0418783847242593
397.0,0.0005459419265065,288.0,3.0,1005.0,1.0,5.0,0.7279249623392455,71277.03967481157,0.5353430579202574,0.2594707977082062,-0.1475723914802074
190.0,0.0003251716009573,501.0,2.0,749.0,1.0,7.0,10.0,66844.86048385636,0.4455704305436254,0.4157499257860504,-0.0749507095664739
275.0,0.0007099756559332,540.0,4.0,352.0,3.0,7.0,7.761285852784299,11720.987812730657,0.3481385318409322,0.1606016093907994,-0.0671309089288115
61.0,0.0003061908684487,50.0,2.0,1200.0,2.0,7.0,5.249910286939224,48726.71675136945,0.2753101336321759,0.01,-0.0296314448118209
274.0,0.0003000428873207,181.0,4.0,514.0,1.0,5.0,8.664122378769534,79153.5667356179,0.630131095514502,0.01,-0.1075955882668495
105.0,0.0003915851434197,795.0,3.0,538.0,6.0,9.0,10.0,60926.60417296808,0.01,0.0825632427271248,-1.0089786291122436
427.0,1e-05,848.0,3.0,672.0,4.0,7.0,7.522421944239467,71513.9953649731,0.1386729196475992,0.5585718235640059,-0.1901414312422275
87.0,0.0002442876532076,421.0,1.0,831.0,1.0,6.0,3.89682414425327,69984.12265750389,0.2294778865616624,0.4389608794177526,-0.0438113924115896
428.0,0.0001200069143425,222.0,1.0,773.0,2.0,4.0,5.086406718651461,31835.72535673444,0.5850521571994318,0.6268297369381739,-0.1984731219708919
404.0,4.441835481911205e-05,1065.0,1.0,1101.0,2.0,6.0,3.671655831551123,35503.44752080172,0.2508396008493238,0.2837865698031687,-0.1100363723933696
291.0,0.0008873164937755,480.0,4.0,917.0,3.0,5.0,6.179378223402373,91824.69073200348,0.4150877630032225,0.4772792176307597,-0.0909036129713058
205.0,0.0006539380676117,318.0,4.0,857.0,4.0,7.0,10.0,44428.02874928871,0.3777620926847554,0.8447088388719303,-0.078690967708826
411.0,0.001,133.0,3.0,436.0,2.0,7.0,8.93557233610408,18300.749340920527,0.1505470730708652,0.3712733784277403,-0.0781657412648201
152.0,0.0007088505213505,1057.0,1.0,722.0,5.0,5.0,9.774497774522464,69208.8412965224,0.485310615858179,0.7720051449007423,-0.0605315826833248
56.0,0.0008736351670548,234.0,4.0,622.0,6.0,5.0,3.851047879649447,54117.01232061975,0.7834866625951363,0.1927925537996831,-0.0445518689230084
366.0,0.0006417214548399,1127.0,3.0,872.0,3.0,5.0,4.314775972855957,98504.70220314912,0.8004615472839979,0.0569882773848505,-0.1100144568830728
103.0,0.0005411182422207,927.0,3.0,249.0,3.0,6.0,0.1,48387.2609930264,0.3656830054319571,0.2206699804761915,-0.0518066795542836
220.0,0.0003509992376736,1160.0,1.0,861.0,2.0,8.0,4.681640478570947,42600.34193871328,0.3200908283381197,0.2466881683863804,-0.0766462247818708
385.0,0.0001335950676532,390.0,6.0,587.0,2.0,7.0,9.43810157370642,17603.777012578386,0.6104015936156323,0.6683883237431766,-0.1434438154101371
393.0,0.0002485445292765,831.0,5.0,113.0,3.0,9.0,6.735855449205366,1000.0,0.3943606262445812,0.544715328156892,-0.0941083811223506
138.0,0.0007077949898183,125.0,2.0,812.0,6.0,3.0,7.231647143836762,65597.39773048897,0.7465379772399481,0.1702935987015092,-0.0428803794085979
155.0,0.0004583604939925,849.0,4.0,524.0,4.0,7.0,10.0,66790.16408492596,0.1865021485437888,0.5730602550231177,-0.0528903154656291
