batch_size,lr,num_hidden_layers,num_neurons,value
168.0,0.004374910634325708,4.0,483.0,-0.14311869144439698
135.0,0.0005495928164824278,5.0,220.0,-0.22038241624832153
294.0,0.0019563380416482037,1.0,670.0,-0.12122802734375
303.0,0.0023018466787818035,1.0,946.0,-0.1279490637779236
152.0,0.0029231394244185293,5.0,57.0,-0.1776689386367798
399.0,0.0006643165892431325,3.0,147.0,-0.1625760793685913
304.0,0.0026165647092438607,3.0,417.0,-0.14351165533065796
198.0,0.0013333310296188463,6.0,282.0,-0.19782808542251587
185.0,0.0031666954095455387,5.0,630.0,-0.1612933874130249
445.0,0.0013455915540643963,2.0,934.0,-0.12633582592010498
329.0,0.001029945242161167,5.0,93.0,-0.24420689344406127
237.0,0.0020795608351559416,5.0,869.0,-0.1764759349822998
438.0,0.0038318600960184457,5.0,612.0,-1.792698860168457
359.0,0.004795387800931878,5.0,874.0,-11.266128540039062
335.0,0.003688572348820355,5.0,53.0,-0.18947508573532104
234.0,0.0032781467356741774,3.0,994.0,-0.13430458068847656
375.0,0.0030188186469693066,5.0,148.0,-0.17473669290542604
400.0,0.0038236621267404227,3.0,626.0,-0.15009045839309693
451.0,0.004357670997145549,5.0,140.0,-0.1854159951210022
220.0,8.044538056035946e-05,3.0,581.0,-0.16559724807739257
440.0,0.0009490832351195082,2.0,750.0,-0.13164179801940917
237.0,0.00033503123722173825,4.0,304.0,-0.20107456922531128
437.0,0.00299232481475856,1.0,154.0,-0.13152225971221923
407.0,0.0019028052442689057,5.0,589.0,-0.1848284935951233
156.0,0.003218205897364496,4.0,434.0,-0.14976435422897338
119.0,0.0003392084346643215,4.0,550.0,-0.19221635580062865
444.0,0.0019239349652254284,4.0,749.0,-0.1472911262512207
230.0,0.002597807379556873,2.0,742.0,-0.1239828372001648
438.0,0.0031549764884402603,5.0,743.0,-1.7049171924591064
51.0,0.004760232341252148,4.0,128.0,-0.14439210653305054
20.0,0.0037634853298411297,1.0,515.0,-0.11373558282852173
20.0,1e-06,6.0,1000.0,-0.40354586124420166
383.0,0.002752272004178512,5.0,132.0,-0.21719366788864136
20.0,0.002440449048647315,3.0,1000.0,-0.18161210775375367
71.0,0.002969507691705251,1.0,398.0,-0.11777591466903686
20.0,0.0032218528743823698,1.0,1000.0,-0.11937666654586793
93.0,0.0023380603683501844,3.0,608.0,-0.13719849348068236
20.0,0.004357031546642725,3.0,365.0,-0.14440556049346923
271.0,0.001399070008845326,6.0,931.0,-0.23296747207641602
475.0,0.004472644687781815,6.0,286.0,-0.16730742216110228
500.0,1e-06,1.0,1000.0,-1.387080855369568
500.0,0.0017020332065887686,1.0,50.0,-0.15641340017318725
20.0,0.003349999106239879,3.0,570.0,-0.15040429830551147
500.0,0.005,1.0,50.0,-0.14165201187133789
20.0,1e-06,1.0,50.0,-1.15440899848938
20.0,0.002863999907114277,6.0,429.0,-0.2917300152778626
500.0,0.0032886675296099044,1.0,639.0,-0.12848254442214965
500.0,0.001329757447843763,1.0,355.0,-0.13463246583938598
500.0,1e-06,6.0,655.0,-1.1694041919708251
20.0,0.005,6.0,50.0,-0.22208218574523925
441.0,1e-06,1.0,50.0,-3.189784564971924
352.0,0.004046947677386092,1.0,415.0,-0.12946787118911743
20.0,0.0012824243650136284,2.0,180.0,-0.12265803337097168
266.0,0.0037167320846608985,2.0,548.0,-0.12375524520874023
500.0,0.00286387443606389,2.0,1000.0,-0.13370471000671386
20.0,0.004115454859053049,6.0,251.0,-0.2618273639678955
500.0,0.0014549389079989467,3.0,270.0,-0.1434278106689453
20.0,0.0005601761954456503,1.0,526.0,-0.1189189338684082
20.0,0.0023533898766455027,1.0,50.0,-0.11998320817947387
426.0,0.004118137688827748,4.0,376.0,-0.13464689254760742
