batch_size,lr,num_units,num_hidden_layers,value
117.0,0.00015868684296559073,1338.0,4.0,-1.0700879549980165
550.0,0.0012563856166117634,1055.0,10.0,-8.05114509748376
79.0,0.00099881254723474,1117.0,4.0,-0.8137005132436752
671.0,0.0008841196576415737,1098.0,8.0,-7.940168082714081
576.0,0.0015458606597769566,770.0,1.0,-0.621741863489151
477.0,0.0008092879217755676,145.0,9.0,-6.808250226974487
154.0,0.0018051291490068814,577.0,4.0,-1.1296520709991456
64.0,0.0026878802279208854,375.0,3.0,-1.3376139223575592
993.0,0.0018625512932948837,279.0,8.0,-6.638993844985962
553.0,0.0031105174797878337,44.0,9.0,-7.326249141693115
668.0,0.0007626071837017823,396.0,3.0,-2.1324308252334596
62.0,0.0008909724717300202,687.0,7.0,-7.485475957393646
754.0,0.0026010414744839267,1485.0,4.0,-1.5088836455345154
854.0,0.0042562533671330356,108.0,9.0,-7.368971185684204
447.0,0.0014721169031479905,189.0,4.0,-3.5830237674713135
467.0,0.0025017710886370108,1308.0,9.0,-8.057273864746094
681.0,0.0032316712028597257,408.0,4.0,-1.9049913477897644
362.0,0.004688026310267426,1332.0,3.0,-7.9135236740112305
311.0,0.0032512342244018543,683.0,6.0,-8.009474515914917
916.0,0.004641685631140604,1165.0,7.0,-8.149456024169922
187.0,0.001046448873130989,927.0,1.0,-0.5328158777952194
291.0,0.0026179475246025583,434.0,1.0,-0.608757044672966
85.0,0.0023168584509668712,668.0,6.0,-4.228482723236084
386.0,0.0006941931449360501,155.0,8.0,-6.783612112998963
501.0,0.0014963793992209937,1457.0,3.0,-0.7402183014154434
184.0,0.0013594322934334193,1133.0,5.0,-8.045920093854269
709.0,0.002985795766350575,261.0,10.0,-7.861520732321391
457.0,0.0001532238469246529,1090.0,6.0,-3.684522047042847
236.0,0.0033022900920135646,553.0,5.0,-1.3008528292179107
663.0,0.004935142702408518,1487.0,9.0,-8.437151908874512
922.0,0.00047509017100181075,606.0,8.0,-6.475798716545105
98.0,0.0038411911074355833,375.0,9.0,-8.053640097902532
984.0,0.00017096923779773166,1464.0,10.0,-6.7169449377059935
160.0,5.559392040916254e-05,258.0,3.0,-5.291523771286011
270.0,0.0009105993879914224,23.0,8.0,-7.651714234352112
422.0,0.002123564192445357,1157.0,8.0,-8.055550575256348
216.0,0.0029663675789906047,889.0,3.0,-0.7771909308433532
628.0,0.0017391662933847777,1132.0,8.0,-8.035682916641235
863.0,0.0029314569830429403,1461.0,5.0,-8.02267837524414
130.0,0.0030059622580501195,738.0,7.0,-8.057670729500908
709.0,0.004335738926752419,1146.0,4.0,-8.04824357032776
803.0,0.0008362225196253851,611.0,1.0,-1.3439362299442292
447.0,0.0014718067925936697,970.0,2.0,-0.6196420264244079
442.0,0.004902312795653629,1182.0,4.0,-8.0094104546767
936.0,0.00030295241723812545,1395.0,5.0,-2.7509047031402587
944.0,0.002391537301981838,550.0,2.0,-0.858235582113266
708.0,0.0031345013207244735,200.0,2.0,-1.4638928329944612
337.0,0.003604092331081981,798.0,6.0,-8.058060646057129
121.0,0.0038239864574029637,350.0,8.0,-5.648570645240046
704.0,0.0005125200646393245,1181.0,2.0,-0.9923429483175278
291.0,0.004305732822781417,395.0,2.0,-0.7739864277839661
632.0,0.004555087761545329,236.0,3.0,-1.6452255487442016
109.0,0.002901942097922005,1227.0,8.0,-8.065654754638672
386.0,0.004544819307378039,1073.0,5.0,-8.030108451843262
791.0,0.0034874671147703444,918.0,2.0,-0.6319111025333405
824.0,0.004810804027754664,819.0,2.0,-0.65487468957901
939.0,0.004651083327599379,1194.0,7.0,-8.130521774291992
345.0,0.0015133960263516073,1004.0,7.0,-8.027565956115723
840.0,0.0036241681227674,1309.0,9.0,-8.099148750305176
663.0,0.0014335568397052648,1176.0,7.0,-8.052918780933727
230.0,0.0016897636705176984,1128.0,2.0,-0.5973214912414551
535.0,0.0018706089131118099,1160.0,6.0,-8.052246348063152
691.0,0.0007913879143501886,493.0,1.0,-1.51357475399971
497.0,0.001999512903332125,1254.0,3.0,-0.7883835470676422
133.0,0.003039019791265669,150.0,3.0,-2.2533014154434206
876.0,0.004734603407204374,41.0,7.0,-6.770769324302673
81.0,0.000440706769281735,744.0,4.0,-1.4502391362190246
874.0,0.0045253522917436135,761.0,9.0,-8.06030559539795
395.0,0.0025297502729033482,685.0,1.0,-0.5627654814720153
356.0,0.001635135647401157,533.0,8.0,-4.826130108833313
814.0,0.004228283701229268,1265.0,9.0,-8.102409362792969
368.0,0.004501932553752032,513.0,4.0,-1.2320319902896881
146.0,0.004394111661636329,1231.0,3.0,-7.79545259475708
598.0,0.0026154304058245877,494.0,2.0,-0.7685944092273712
764.0,0.0005253991154034101,944.0,7.0,-4.496176924705505
918.0,0.003153028870023495,178.0,9.0,-7.571049771308899
435.0,0.004048543398135935,1164.0,6.0,-8.137514114379883
501.0,0.0027319270282103584,1042.0,6.0,-7.6686859130859375
780.0,0.003170206378358849,625.0,2.0,-0.7054951798915863
206.0,0.0012138805961779645,855.0,8.0,-8.05125499906994
862.0,0.003331088092490055,485.0,4.0,-2.12479119181633
929.0,0.0004219517439772701,1218.0,8.0,-6.977061729431153
523.0,0.0002379410154297716,952.0,9.0,-6.742757015228271
373.0,0.0034945515245759736,120.0,8.0,-5.910941433906555
120.0,0.0017519719077629587,83.0,9.0,-6.099206776618957
668.0,0.003461721253627234,557.0,3.0,-1.081180808544159
815.0,0.000836015799924565,78.0,6.0,-7.102784810066223
1000.0,0.004125322547628384,211.0,3.0,-2.148953573703766
706.0,0.003931350100011138,120.0,4.0,-3.761485242843628
934.0,0.004703531093678615,681.0,4.0,-2.822828016281128
975.0,0.00015862517806905445,1355.0,9.0,-6.867336187362671
531.0,0.0009861130935817737,261.0,1.0,-1.741812161207199
748.0,0.0009619952356577738,337.0,5.0,-4.186781024932861
761.0,0.0011258354873679463,580.0,3.0,-1.4534487581253053
876.0,0.004828155906708525,354.0,7.0,-7.9983370463053385
526.0,0.004377528645935359,835.0,7.0,-7.898550510406494
636.0,0.004026069694544949,922.0,3.0,-8.022176742553711
544.0,0.0023559551449861926,369.0,7.0,-6.191840047836304
680.0,0.0044536014156521695,1493.0,2.0,-0.7092787653207779
812.0,0.002273953878537266,875.0,7.0,-7.73479166507721
249.0,0.004771748820411232,207.0,10.0,-8.052090922991434
805.0,0.0008635402207544263,1239.0,1.0,-0.7528272354602814
909.0,0.00047394809277398036,643.0,7.0,-5.986965069770813
555.0,0.0005034565387589981,820.0,7.0,-4.530580215454101
766.0,0.003719198232661375,868.0,6.0,-7.8750975131988525
653.0,0.00011263762098511264,762.0,6.0,-5.43519205570221
251.0,0.0002722444611065971,357.0,3.0,-2.5980823397636414
999.0,0.0014963994974736131,1413.0,9.0,-8.052992343902588
975.0,0.0010815845203225507,635.0,2.0,-1.2065506708621978
602.0,0.000987426180853641,1272.0,4.0,-1.2359620702266694
109.0,0.0004049491918591193,886.0,7.0,-2.3184359073638916
514.0,0.003524456237829191,386.0,9.0,-8.0532470703125
685.0,0.0009212316568792389,782.0,4.0,-1.627874938249588
902.0,0.00498362080395893,413.0,6.0,-8.036332766215006
479.0,0.0009742690711898134,137.0,3.0,-3.5186911153793337
684.0,0.004398461420349129,692.0,2.0,-0.6805382758378983
557.0,0.002207592645842328,1109.0,3.0,-0.8319534593820572
241.0,0.0021829922161323277,558.0,4.0,-1.1951335203647613
751.0,0.003136826006379674,1292.0,9.0,-8.072521209716797
593.0,0.0029210134658582865,123.0,4.0,-3.5767305183410643
540.0,0.0020707606535524435,491.0,4.0,-1.875776904821396
966.0,0.001971186600094018,695.0,10.0,-8.052449584007263
809.0,0.0011481866479526918,495.0,7.0,-5.769541778564453
889.0,0.0006904220928259077,787.0,6.0,-4.054054932594299
960.0,0.004381974208996814,1302.0,9.0,-8.069774627685547
199.0,0.0036429201676835246,1150.0,3.0,-7.968902111053467
133.0,0.0010802592182808915,834.0,6.0,-1.403009467124939
333.0,4.393322515820365e-05,431.0,7.0,-6.8316917943954465
663.0,0.003220903028015525,1100.0,4.0,-1.4141533756256104
850.0,0.003775921988159955,393.0,6.0,-4.457358179092407
477.0,0.002372308628354258,423.0,5.0,-1.987097705602646
895.0,0.003963994602333319,1161.0,6.0,-8.093192100524902
254.0,0.0009511911580089837,95.0,8.0,-6.62104293346405
688.0,0.0036307630219746746,822.0,2.0,-0.6434152418375015
842.0,0.0033541605766792305,1385.0,10.0,-8.069144248962402
666.0,0.0033720292877103724,814.0,10.0,-8.057104587554932
657.0,0.0014799713863087739,913.0,7.0,-7.9284539222717285
984.0,0.000911578318450769,1164.0,3.0,-1.0515388196706772
885.0,0.0028475697441095716,1439.0,6.0,-8.028322219848633
393.0,0.00488557033910185,286.0,2.0,-0.8693216353654861
777.0,0.004369948188694718,258.0,2.0,-1.0980093276500702
97.0,0.0008080521086536184,1446.0,3.0,-0.7826342540979385
535.0,0.001820307965930122,288.0,4.0,-2.5691382336616515
95.0,0.003834844347631979,148.0,6.0,-3.217191581726074
516.0,0.004495235610303203,874.0,6.0,-8.066664695739746
384.0,0.0012778273697232959,33.0,4.0,-6.510968313217163
568.0,0.0018736399519814488,37.0,4.0,-6.180165405273438
869.0,0.0006546473252352367,795.0,10.0,-7.685074272155762
616.0,0.001236198589318618,412.0,2.0,-1.1959110474586487
998.0,0.001946628884825211,264.0,8.0,-6.835291185379028
400.0,0.0039491150636001915,1032.0,1.0,-0.5318391567468643
153.0,0.0013539524363955623,21.0,7.0,-7.023640079498291
449.0,0.003033159133673384,678.0,3.0,-0.941094463467598
887.0,0.0012236171986799455,1167.0,9.0,-8.04777711868286
143.0,0.003056874526395335,159.0,6.0,-2.902841279506683
262.0,0.00033067803641735816,754.0,7.0,-4.604836716651916
839.0,0.0016302615726724418,662.0,9.0,-8.051651954650879
554.0,0.0023948107542398015,414.0,7.0,-5.031113390922546
224.0,0.003678691608899483,1324.0,8.0,-8.143701553344727
491.0,0.0027035964912408505,759.0,3.0,-0.8905340611934662
705.0,0.0022109879390272264,1033.0,8.0,-8.054542779922485
449.0,0.0030532239334843453,1169.0,3.0,-0.7470551991462707
511.0,0.0020111381093095818,650.0,4.0,-1.5392326092720032
225.0,0.002603051365929954,1405.0,7.0,-5.639105439186096
253.0,0.0010122683848731036,736.0,4.0,-1.3838759005069732
553.0,0.00156668329178178,346.0,10.0,-7.339092874526978
802.0,0.004935034927545298,887.0,7.0,-8.07923412322998
297.0,0.0023870237859497075,321.0,7.0,-3.3898812675476075
934.0,0.003446990106021479,910.0,9.0,-8.063292503356934
423.0,0.0030286363406550098,666.0,10.0,-8.045186996459961
65.0,0.00022311300220088522,679.0,1.0,-0.7680622243881225
949.0,0.00046514697403292283,866.0,4.0,-2.464790563583374
321.0,0.004372707692936181,870.0,9.0,-8.078540325164795
286.0,0.001076201704674517,1420.0,1.0,-0.5232012504339218
374.0,0.004996759003373252,198.0,1.0,-0.7610022175312042
339.0,0.003366469051317176,1294.0,6.0,-7.9205217361450195
154.0,0.0033950341412797313,415.0,3.0,-1.2057711362838746
848.0,0.0036992550458270243,531.0,6.0,-4.990006666183472
733.0,0.0049769339003992155,715.0,3.0,-1.034504137635231
451.0,0.002960261331199398,564.0,6.0,-7.776005923748016
870.0,0.0003024830927562029,73.0,6.0,-7.276700100898743
408.0,0.003961732936585664,733.0,4.0,-1.5244180905818938
712.0,0.0019152439281707046,81.0,6.0,-6.596962962150574
424.0,0.002870412609572982,1121.0,3.0,-0.7510691851377487
386.0,0.00389390234728865,57.0,5.0,-5.214209289550781
941.0,0.002820368686137072,525.0,2.0,-0.8541698652505875
599.0,0.003910659213023125,549.0,7.0,-7.785600662231445
916.0,0.0006272122096152479,471.0,4.0,-2.8404505157470705
810.0,0.004679970178746457,767.0,7.0,-7.827338218688965
630.0,0.0003080672874822491,89.0,3.0,-5.794112162590027
361.0,0.0005806324248071921,1053.0,3.0,-0.8689277684688568
734.0,0.0010175237106530793,1229.0,5.0,-2.572723081111908
663.0,0.0011851730518178533,503.0,7.0,-4.64731716632843
616.0,0.0012903534488982516,1308.0,9.0,-8.052107238769532
